state_code,cve_ent,estado,categoria,variable,valor,anio,fuente,unidad
AGS,01,Aguascalientes,infraestructura_digital,personas_usuarias_computadora_pct,39.14,2024,INEGI ENDUTIH 2024,%
BCN,02,Baja California,infraestructura_digital,personas_usuarias_computadora_pct,37.95,2024,INEGI ENDUTIH 2024,%
BCS,03,Baja California Sur,infraestructura_digital,personas_usuarias_computadora_pct,40.38,2024,INEGI ENDUTIH 2024,%
CAM,04,Campeche,infraestructura_digital,personas_usuarias_computadora_pct,33.71,2024,INEGI ENDUTIH 2024,%
COA,05,Coahuila,infraestructura_digital,personas_usuarias_computadora_pct,40.49,2024,INEGI ENDUTIH 2024,%
COL,06,Colima,infraestructura_digital,personas_usuarias_computadora_pct,43.93,2024,INEGI ENDUTIH 2024,%
CHP,07,Chiapas,infraestructura_digital,personas_usuarias_computadora_pct,23.5,2024,INEGI ENDUTIH 2024,%
CHH,08,Chihuahua,infraestructura_digital,personas_usuarias_computadora_pct,42.35,2024,INEGI ENDUTIH 2024,%
CMX,09,Ciudad de Mexico,infraestructura_digital,personas_usuarias_computadora_pct,52.76,2024,INEGI ENDUTIH 2024,%
DUR,10,Durango,infraestructura_digital,personas_usuarias_computadora_pct,37.4,2024,INEGI ENDUTIH 2024,%
GUA,11,Guanajuato,infraestructura_digital,personas_usuarias_computadora_pct,32.62,2024,INEGI ENDUTIH 2024,%
GRO,12,Guerrero,infraestructura_digital,personas_usuarias_computadora_pct,24.75,2024,INEGI ENDUTIH 2024,%
HID,13,Hidalgo,infraestructura_digital,personas_usuarias_computadora_pct,39.55,2024,INEGI ENDUTIH 2024,%
JAL,14,Jalisco,infraestructura_digital,personas_usuarias_computadora_pct,41.01,2024,INEGI ENDUTIH 2024,%
MEX,15,Mexico,infraestructura_digital,personas_usuarias_computadora_pct,37.16,2024,INEGI ENDUTIH 2024,%
MIC,16,Michoacan,infraestructura_digital,personas_usuarias_computadora_pct,32.24,2024,INEGI ENDUTIH 2024,%
MOR,17,Morelos,infraestructura_digital,personas_usuarias_computadora_pct,33.24,2024,INEGI ENDUTIH 2024,%
NAY,18,Nayarit,infraestructura_digital,personas_usuarias_computadora_pct,31.42,2024,INEGI ENDUTIH 2024,%
NLE,19,Nuevo Leon,infraestructura_digital,personas_usuarias_computadora_pct,41.76,2024,INEGI ENDUTIH 2024,%
OAX,20,Oaxaca,infraestructura_digital,personas_usuarias_computadora_pct,24.33,2024,INEGI ENDUTIH 2024,%
PUE,21,Puebla,infraestructura_digital,personas_usuarias_computadora_pct,31.54,2024,INEGI ENDUTIH 2024,%
QUE,22,Queretaro,infraestructura_digital,personas_usuarias_computadora_pct,42.3,2024,INEGI ENDUTIH 2024,%
ROO,23,Quintana Roo,infraestructura_digital,personas_usuarias_computadora_pct,42.41,2024,INEGI ENDUTIH 2024,%
SLP,24,San Luis Potosi,infraestructura_digital,personas_usuarias_computadora_pct,32.95,2024,INEGI ENDUTIH 2024,%
SIN,25,Sinaloa,infraestructura_digital,personas_usuarias_computadora_pct,39.97,2024,INEGI ENDUTIH 2024,%
SON,26,Sonora,infraestructura_digital,personas_usuarias_computadora_pct,42.41,2024,INEGI ENDUTIH 2024,%
TAB,27,Tabasco,infraestructura_digital,personas_usuarias_computadora_pct,33.94,2024,INEGI ENDUTIH 2024,%
TAM,28,Tamaulipas,infraestructura_digital,personas_usuarias_computadora_pct,37.84,2024,INEGI ENDUTIH 2024,%
TLA,29,Tlaxcala,infraestructura_digital,personas_usuarias_computadora_pct,38.25,2024,INEGI ENDUTIH 2024,%
VER,30,Veracruz,infraestructura_digital,personas_usuarias_computadora_pct,26.79,2024,INEGI ENDUTIH 2024,%
YUC,31,Yucatan,infraestructura_digital,personas_usuarias_computadora_pct,38.24,2024,INEGI ENDUTIH 2024,%
ZAC,32,Zacatecas,infraestructura_digital,personas_usuarias_computadora_pct,32.55,2024,INEGI ENDUTIH 2024,%
AGS,01,Aguascalientes,infraestructura_digital,personas_usuarias_internet_pct,87.74,2024,INEGI ENDUTIH 2024,%
BCN,02,Baja California,infraestructura_digital,personas_usuarias_internet_pct,86.38,2024,INEGI ENDUTIH 2024,%
BCS,03,Baja California Sur,infraestructura_digital,personas_usuarias_internet_pct,90.43,2024,INEGI ENDUTIH 2024,%
CAM,04,Campeche,infraestructura_digital,personas_usuarias_internet_pct,84.14,2024,INEGI ENDUTIH 2024,%
COA,05,Coahuila,infraestructura_digital,personas_usuarias_internet_pct,88.15,2024,INEGI ENDUTIH 2024,%
COL,06,Colima,infraestructura_digital,personas_usuarias_internet_pct,87.82,2024,INEGI ENDUTIH 2024,%
CHP,07,Chiapas,infraestructura_digital,personas_usuarias_internet_pct,64.92,2024,INEGI ENDUTIH 2024,%
CHH,08,Chihuahua,infraestructura_digital,personas_usuarias_internet_pct,85.23,2024,INEGI ENDUTIH 2024,%
CMX,09,Ciudad de Mexico,infraestructura_digital,personas_usuarias_internet_pct,87.93,2024,INEGI ENDUTIH 2024,%
DUR,10,Durango,infraestructura_digital,personas_usuarias_internet_pct,82.85,2024,INEGI ENDUTIH 2024,%
GUA,11,Guanajuato,infraestructura_digital,personas_usuarias_internet_pct,78.84,2024,INEGI ENDUTIH 2024,%
GRO,12,Guerrero,infraestructura_digital,personas_usuarias_internet_pct,77.48,2024,INEGI ENDUTIH 2024,%
